iter	Passed	Remaining
411	3932	15155
412	3940	15141
413	3948	15127
414	3957	15113
415	3967	15105
416	3976	15094
417	3985	15084
418	3994	15073
419	4003	15062
420	4013	15051
421	4021	15037
422	4030	15027
423	4040	15017
424	4048	15002
425	4056	14988
426	4065	14976
427	4073	14961
428	4082	14951
429	4090	14936
430	4100	14928
431	4108	14914
432	4116	14898
433	4125	14886
434	4134	14873
435	4142	14860
436	4152	14853
437	4163	14848
438	4173	14839
439	4183	14833
440	4193	14824
441	4204	14821
442	4217	14824
443	4229	14820
444	4237	14808
445	4246	14797
446	4256	14787
447	4265	14776
448	4279	14783
449	4293	14790
450	4302	14778
451	4311	14764
452	4320	14753
453	4328	14741
454	4338	14731
455	4348	14722
456	4372	14764
457	4382	14754
458	4390	14741
459	4401	14733
460	4407	14715
461	4418	14708
462	4427	14696
463	4435	14683
464	4443	14669
465	4452	14655
466	4457	14631
467	4463	14611
468	4473	14602
469	4481	14588
470	4489	14573
471	4497	14559
472	4505	14545
473	4514	14533
474	4523	14521
475	4531	14509
476	4540	14498
477	4549	14486
478	4558	14475
479	4567	14462
480	4575	14450
481	4587	14447
482	4598	14442
483	4609	14436
484	4619	14430
485	4629	14420
486	4638	14410
487	4647	14400
488	4665	14415
489	4675	14407
490	4686	14402
491	4696	14394
492	4707	14389
493	4718	14385
494	4729	14379
495	4740	14373
496	4750	14365
497	4760	14358
498	4771	14353
499	4781	14345
500	4791	14336
501	4803	14332
502	4815	14331
503	4836	14356
504	4849	14355
505	4863	14359
506	4876	14358
507	4887	14355
508	4900	14353
509	4912	14352
510	4925	14351
511	4939	14354
512	4953	14358
513	4966	14357
514	4978	14354
515	4988	14348
516	4999	14341
517	5010	14336
518	5022	14332
519	5035	14330
520	5046	14324
521	5056	14317
522	5067	14310
523	5079	14307
524	5089	14300
525	5100	14294
526	5111	14286
527	5121	14278
528	5131	14270
529	5149	14281
530	5162	14281
531	5174	14277
532	5184	14269
533	5199	14274
534	5216	14285
535	5231	14288
536	5242	14283
537	5255	14282
538	5268	14279
539	5279	14274
540	5290	14268
541	5302	14263
542	5312	14254
543	5322	14245
544	5333	14237
545	5344	14233
546	5356	14227
547	5366	14218
548	5374	14204
549	5386	14201
550	5397	14194
551	5409	14189
552	5422	14188
553	5434	14184
554	5445	14178
555	5459	14179
556	5470	14171
557	5480	14163
558	5491	14154
559	5500	14145
560	5510	14134
561	5520	14125
562	5529	14113
563	5539	14103
564	5548	14093
565	5558	14082
566	5573	14086
567	5586	14083
568	5597	14076
569	5608	14069
570	5617	14059
571	5627	14048
572	5636	14038
573	5644	14023
574	5653	14010
575	5661	13997
576	5671	13987
577	5681	13977
578	5693	13974
579	5706	13970
580	5716	13960
581	5726	13953
582	5737	13946
583	5748	13939
584	5760	13932
585	5771	13927
586	5781	13915
587	5793	13911
588	5804	13905
589	5816	13899
590	5828	13894
591	5838	13886
592	5850	13881
593	5863	13878
594	5876	13877
595	5891	13877
596	5903	13874
597	5916	13870
598	5926	13860
599	5936	13852
600	5946	13842
601	5957	13834
602	5968	13826
603	5979	13819
604	5989	13811
605	6000	13802
606	6010	13794
607	6019	13781
608	6027	13767
609	6036	13755
610	6044	13741
611	6053	13729
612	6061	13714
613	6065	13692
614	6072	13675
615	6080	13662
616	6092	13656
617	6102	13647
618	6112	13637
619	6121	13626
620	6131	13616
621	6141	13606
622	6150	13595
623	6162	13588
624	6172	13580
625	6182	13569
626	6192	13559
627	6198	13541
628	6209	13534
629	6218	13522
630	6228	13513
631	6237	13502
632	6247	13491
633	6256	13479
634	6265	13468
635	6274	13455
636	6286	13451
637	6296	13441
638	6304	13427
639	6312	13414
640	6320	13401
641	6330	13390
642	6339	13378
643	6348	13366
644	6355	13352
645	6364	13339
646	6372	13326
647	6382	13315
648	6390	13302
649	6398	13288
650	6407	13278
651	6418	13270
652	6428	13260
653	6437	13249
654	6447	13239
655	6457	13230
656	6467	13221
657	6478	13213
658	6496	13219
659	6505	13208
660	6514	13197
661	6523	13185
662	6533	13174
663	6544	13166
664	6555	13159
665	6569	13157
666	6589	13170
667	6605	13170
668	6616	13163
669	6626	13153
670	6635	13142
671	6645	13132
672	6655	13123
673	6666	13116
674	6677	13107
675	6688	13099
676	6700	13094
677	6712	13087
678	6723	13081
679	6738	13081
680	6749	13072
681	6759	13063
682	6770	13055
683	6783	13050
684	6796	13048
685	6811	13047
